"0,00100009",0,"6,81556","6,27456","2,55765","2,40616","4,13212","4,41225","3,18752"
"0,00100009","0,00013264","6,75827","6,24798","2,53231","2,38828","4,15002","4,49219","3,20285"
"0,00100009","0,00026527","6,70415","6,22352","2,51","2,3648","4,16918","4,56874","3,21666"
"0,00100009","0,00039791","6,65428","6,20252","2,48651","2,3479","4,1851","4,64399","3,22857"
"0,00100009","0,00053055","6,60867","6,18295","2,4648","2,331","4,20115","4,71569","3,24055"
"0,00100009","0,00066319","6,56489","6,16379","2,44714","2,31718","4,21352","4,78292","3,24983"
"0,00100009","0,00079582","6,52684","6,14809","2,42846","2,30261","4,22565","4,84504","3,26157"
"0,00100009","0,00092846","6,49224","6,13521","2,41644","2,29162","4,23539","4,90186","3,26971"
"0,00100009","0,0010611","6,4652","6,12271","2,40332","2,28132","4,24341","4,9523","3,27782"
"0,00100009","0,00119374","6,44373","6,11529","2,39303","2,27473","4,25066","5,00106","3,28264"
"0,00100009","0,00132637","6,42593","6,10539","2,38312","2,26714","4,25485","5,03975","3,28971"
"0,00100009","0,00159165","6,39669","6,09696","2,36908","2,25993","4,2597","5,11313","3,29984"
"0,00100009","0,00185692","6,37905","6,08862","2,36211","2,24924","4,26446","5,17669","3,3045"
"0,00100009","0,0021222","6,36331","6,08458","2,3549","2,24783","4,26538","5,23254","3,31333"
"0,00100009","0,00238747","6,35341","6,08285","2,34783","2,24481","4,26416","5,28249","3,31691"
"0,00100009","0,00265275","6,34495","6,07808","2,34486","2,24216","4,26492","5,32771","3,32209"
"0,00100009","0,00291802","6,33794","6,07993","2,33701","2,24036","4,262","5,36958","3,32474"
"0,00100009","0,00318329","6,3307","6,08033","2,33512","2,23825","4,26228","5,40866","3,3299"
"0,00100009","0,00344857","6,32655","6,07849","2,33426","2,24056","4,25852","5,44625","3,33054"
"0,00100009","0,00397912","6,32143","6,07863","2,33082","2,2379","4,2544","5,51506","3,33891"
